date,day,beta,sigma,gamma
2021-02-11,347,0.07802875623318935,0.2,0.08032596041909197
2021-02-12,348,0.031578348666446036,0.2,0.07791446983011131
2021-02-13,349,0.034535263599435,0.2,0.08031882280809319
2021-02-14,350,0.05575880532046374,0.2,0.09039900249376559
2021-02-15,351,0.07802347226495737,0.2,0.06261859582542695
2021-02-16,352,0.06424390994541851,0.2,0.0573408947700063
2021-02-17,353,0.08817990709398658,0.2,0.0703269586674892
2021-02-18,354,0.06511452237237872,0.2,0.07298814722395508
2021-02-19,355,0.04782694612264362,0.2,0.08591282375236892
2021-02-20,356,0.05076946033333082,0.2,0.07882736156351791
2021-02-21,357,0.06567657517682668,0.2,0.060240963855421686
2021-02-22,358,0.07341655686677931,0.2,0.06932635709614127
2021-02-23,359,0.06387456353577861,0.2,0.4500978473581213
2021-02-24,360,0.13294602273625702,0.2,0.09071504802561366
2021-02-25,361,0.14262693170437515,0.2,0.14522821576763487
2021-02-26,362,0.07182928301978192,0.2,0.053418803418803416
2021-02-27,363,0.07286740750325821,0.2,0.08583247156153051
2021-02-28,364,0.07807345648637852,0.2,0.06964656964656965
2021-03-01,365,0.059652316490745975,0.2,0.0743801652892562
2021-03-02,366,0.061565201277277305,0.2,0.0646817248459959
2021-03-03,367,0.10661521676683823,0.2,0.0781563126252505
2021-03-04,368,0.12444400991403345,0.2,0.30671859785783834
2021-03-05,369,0.08129503394911523,0.2,0.07451923076923077
2021-03-06,370,0.09366134642307228,0.2,0.07099143206854346
2021-03-07,371,0.10694776787446054,0.2,0.05090909090909091
2021-03-08,372,0.043761368505230644,0.2,0.06995412844036697
2021-03-09,373,0.06985439028418597,0.2,0.07241379310344828
2021-03-10,374,0.1363027967507021,0.2,0.07244785949506037
2021-03-11,375,0.06965975554168326,0.2,0.06475583864118896
2021-03-12,376,0.05476902843681214,0.2,0.07965554359526372
2021-03-13,377,0.07458417997662634,0.2,0.08415300546448087
2021-03-14,378,0.05370596846138186,0.2,0.08417508417508418
2021-03-15,379,0.09520122022214877,0.2,0.10502793296089385
2021-03-16,380,0.12886843895207878,0.2,0.060109289617486336
2021-03-17,381,0.13439452594948703,0.2,0.0639412997903564
2021-03-18,382,0.16294137392774233,0.2,0.124
2021-03-19,383,0.10468705932779357,0.2,0.08191808191808192
2021-03-20,384,0.06757356543261446,0.2,0.1062124248496994
2021-03-21,385,0.15877907296162416,0.2,0.10526315789473684
2021-03-22,386,0.18722121730336688,0.2,0.07571288102261553
2021-03-23,387,0.12870248862527697,0.2,0.08067375886524823
2021-03-24,388,0.14417644272142108,0.2,0.07191201353637902
2021-03-25,389,0.17835653544891614,0.2,0.06080525883319639
2021-03-26,390,0.06746120084402349,0.2,0.07390300230946882
2021-03-27,391,0.031196938848711723,0.2,0.07375776397515528
2021-03-28,392,0.09056406902755114,0.2,0.06396255850234009
2021-03-29,393,0.12437397047809395,0.2,0.08799403430275914
2021-03-30,394,0.0970381268574103,0.2,0.04244604316546763
2021-03-31,395,0.08709821205944054,0.2,0.0
