date,day,confirmed,recovered,deaths,removed,infected,susceptible,new_confirmed,new_removed,exposed,model_susceptible,model_exposed,model_infected,model_removed,model_confirmed,beta,sigma,gamma
2020-08-14,166,25551.0,17077.0,99.0,17176.0,8375.0,29111257.0,594.0,244.0,2579.0,29111153.71541814,2568.5940770888856,8271.034790685228,17179.65571408387,25450.690504769096,0.07717812773292271,0.2,0.015164179104477612
2020-08-15,167,26019.0,17201.0,102.0,17303.0,8716.0,29110789.0,468.0,127.0,2709.0,29110595.957291927,2711.1042089070797,8773.939463678405,17305.999035486206,26079.93849916461,0.06256160372449783,0.2,0.015603487838458009
2020-08-16,168,26660.0,17335.0,104.0,17439.0,9221.0,29110148.0,641.0,136.0,2712.0,29110231.56950881,2723.549591677587,9119.726581153524,17442.154318360714,26561.88089951424,0.06940522534102472,0.2,0.017677041535625205
2020-08-17,169,27241.0,17495.0,107.0,17602.0,9639.0,29109567.0,581.0,163.0,2809.0,29109495.303161535,2812.37120132944,9606.934055333688,17605.391581801778,27212.325637135466,0.10932516027635862,0.2,0.009544558564166408
2020-08-18,170,28257.0,17580.0,114.0,17694.0,10563.0,29108551.0,1016.0,92.0,3300.0,29108486.904361896,3279.5963480604505,10154.112281775973,17696.38700826562,27850.499290041596,0.07078719559022184,0.2,0.011928429423459244
2020-08-19,171,28938.0,17700.0,120.0,17820.0,11118.0,29107870.0,681.0,126.0,3387.0,29107784.986619238,3396.6626605639008,11103.141943801718,17823.2087763973,28926.350720199018,0.08250684043899202,0.2,0.024284943335132217
2020-08-20,172,29645.0,17964.0,126.0,18090.0,11555.0,29107163.0,707.0,270.0,3626.0,29106936.31723545,3619.807970489782,11543.778340865923,18095.096453192444,29638.874794058367,0.07989089054506121,0.2,0.022587624405019473
2020-08-21,173,30483.0,18214.0,137.0,18351.0,12132.0,29106325.0,838.0,261.0,3823.0,29106221.91054714,3822.245668347442,12033.493407102937,18356.350377410065,30389.843784513003,0.06746260063948964,0.2,0.011951862842070558
2020-08-22,174,31117.0,18350.0,146.0,18496.0,12621.0,29105691.0,634.0,145.0,3876.0,29105486.480771605,3890.6315804641395,12754.175515448833,18499.712132481454,31253.887647930285,0.04578219527907331,0.2,0.022502178908168923
2020-08-23,175,31935.0,18631.0,149.0,18780.0,13155.0,29104873.0,818.0,284.0,3678.0,29105102.93410979,3706.7202014985783,13088.996416335167,18785.349272377527,31874.345688712696,0.06069746543356607,0.2,0.013911060433295324
