wave,scenario,date,model_S,model_E,model_I,model_R,model_confirmed,beta,actual_confirmed,basic_R0,effective_Re 
wave_1,75% beta reduction,2021-02-21,24620518.90396826,76.37978255672138,926.6752625162222,2978478.0409866595,82248.84307858608,0.0134,273431.0,0.21337579617834396,0.19034140664703614
wave_1,75% beta reduction,2021-02-22,24620508.083155606,72.87479103889743,884.1515602078476,2978534.890493138,82249.52068912334,0.0134,273556.0,0.21337579617834396,0.19034132299125658
wave_1,75% beta reduction,2021-02-23,24620497.75889788,69.53064124620785,843.5791978854506,2978589.1312629804,82250.16720479903,0.0134,273666.0,0.21337579617834396,0.19034124317434672
wave_1,75% beta reduction,2021-02-24,24620487.90840862,66.33995215287553,804.8686325483039,2978640.883006671,82250.78405253513,0.0134,273760.0,0.21337579617834396,0.19034116702014425
wave_1,75% beta reduction,2021-02-25,24620478.509947028,63.29568145787287,767.9344300821391,2978690.259941423,82251.37259377225,0.0134,273872.0,0.21337579617834396,0.1903410943605709
wave_1,75% beta reduction,2021-02-26,24620469.542769983,60.391110039554334,732.6950767187079,2978737.37104325,82251.93412747458,0.0134,273984.0,0.21337579617834396,0.1903410250352614
wave_1,75% beta reduction,2021-02-27,24620460.98708625,57.61982712380161,699.0727991462414,2978782.320287471,82252.46989299708,0.0134,274065.0,0.21337579617834396,0.19034095889120967
wave_1,75% beta reduction,2021-02-28,24620452.824012805,54.97571613292517,666.9933928739165,2978825.20687818,82252.98107282094,0.0134,274143.0,0.21337579617834396,0.1903408957824308
wave_1,75% beta reduction,2021-03-01,24620445.035533153,52.4529411840705,636.3860584716417,2978866.1254671845,82253.46879516363,0.0134,274216.0,0.21337579617834396,0.19034083556963927
wave_1,75% beta reduction,2021-03-02,24620437.60445756,50.04593420731241,607.1832453238492,2978905.1663628994,82253.93413646905,0.0134,274294.0,0.21337579617834396,0.19034077811994105
wave_1,75% beta reduction,2021-03-03,24620430.51438513,47.749382654990214,579.3205025525477,2978942.415729655,82254.37812378349,0.0134,274381.0,0.21337579617834396,0.1903407233065407
wave_1,75% beta reduction,2021-03-04,24620423.749667577,45.5582177751428,552.7363367807106,2978977.955777859,82254.80173702253,0.0134,274488.0,0.21337579617834396,0.19034067100846125
wave_1,75% beta reduction,2021-03-05,24620417.295374714,43.467603423149164,527.3720764221587,2979011.8649454326,82255.20591113382,0.0134,274608.0,0.21337579617834396,0.1903406211102772
wave_1,75% beta reduction,2021-03-06,24620411.137261484,41.472925386868745,503.17174219849477,2979044.2180709234,82255.59153816073,0.0134,274655.0,0.21337579617834396,0.19034057350186004
wave_1,75% beta reduction,2021-03-07,24620405.261736523,39.56978120171055,480.08192359738484,2979075.0865586693,82255.95946921129,0.0134,274721.0,0.21337579617834396,0.1903405280781348
wave_1,75% beta reduction,2021-03-08,24620399.655832168,37.75397043314222,458.05166099958564,2979104.53853639,82256.31051633658,0.0134,274810.0,0.21337579617834396,0.1903404847388484
wave_1,75% beta reduction,2021-03-09,24620394.30717583,36.021485405182915,437.032333214625,2979132.6390055413,82256.64545432322,0.0134,274869.0,0.21337579617834396,0.1903404433883482
wave_1,75% beta reduction,2021-03-10,24620389.203962684,34.36850235440876,416.9775501769734,2979159.4499847763,82256.96502240335,0.0134,274973.0,0.21337579617834396,0.1903404039353711
wave_1,75% beta reduction,2021-03-11,24620384.33492962,32.79137298993984,397.8430505659291,2979185.030646816,82257.26992588623,0.0134,275070.0,0.21337579617834396,0.19034036629284193
wave_1,75% beta reduction,2021-03-12,24620379.68933038,31.28661644077411,379.5866041233029,2979209.437449046,82257.56083771498,0.0134,275118.0,0.21337579617834396,0.1903403303776812
wave_1,75% beta reduction,2021-03-13,24620375.256911848,29.850911572689352,362.16791845335194,2979232.724258117,82257.83839995186,0.0134,275178.0,0.21337579617834396,0.19034029611062198
wave_2,Paper beta (0% reduction),2021-03-14,23309998.627202258,7972.16349541931,18837.20930232558,5800000.0,275231.0,0.0536,275231.0,0.8535031847133758,0.6828187241368905
wave_2,Paper beta (0% reduction),2021-03-15,23309184.505598463,7320.401292331533,19110.77691720287,5801192.316192007,275300.3363040656,0.0536,275310.0,0.8535031847133758,0.6827948761099691
wave_2,Paper beta (0% reduction),2021-03-16,23308361.496985063,6790.502002338538,19258.31089053657,5802397.690122065,275364.3288478961,0.0536,275424.0,0.8535031847133758,0.6827707677562819
wave_2,Paper beta (0% reduction),2021-03-17,23307534.385269687,6356.842292342846,19307.656124190573,5803609.116313782,275423.9633363161,0.0536,275518.0,0.8535031847133758,0.682746539210616
wave_2,Paper beta (0% reduction),2021-03-18,23306706.89208739,5999.2377413694385,19280.725931326924,5804821.1442399165,275480.0184590998,0.0536,275625.0,0.8535031847133758,0.682722299490657
wave_2,Paper beta (0% reduction),2021-03-19,23305881.903194502,5701.787526492564,19194.76230353465,5806029.546975474,275533.1098288971,0.0536,275750.0,0.8535031847133758,0.6826981331287332
wave_2,Paper beta (0% reduction),2021-03-20,23305061.64675818,5451.964529651306,19063.328459552504,5807231.060252619,275583.7245860857,0.0536,275829.0,0.8535031847133758,0.6826741053944432
wave_2,Paper beta (0% reduction),2021-03-21,23304247.83375962,5239.898731754428,18897.090546663032,5808423.176961964,275632.2486531581,0.0536,275906.0,0.8535031847133758,0.682650266407481
wave_2,Paper beta (0% reduction),2021-03-22,23303441.76855898,5057.812834425237,18704.433284865932,5809603.985321731,275678.98820009205,0.0536,276056.0,0.8535031847133758,0.682626654376409
wave_2,Paper beta (0% reduction),2021-03-23,23302644.435960714,4899.577771676114,18491.944829217362,5810772.041438393,275724.18655045796,0.0536,276244.0,0.8535031847133758,0.6826032981490593
wave_2,Paper beta (0% reduction),2021-03-24,23301856.569771696,4760.362643166232,18264.7986321667,5811926.268952972,275768.0374967771,0.0536,276389.0,0.8535031847133758,0.6825802192208028
wave_2,Paper beta (0% reduction),2021-03-25,23301078.70678393,4636.359010913337,18027.054186009704,5813065.880019147,275810.6957879039,0.0536,276509.0,0.8535031847133758,0.6825574333158634
wave_2,Paper beta (0% reduction),2021-03-26,23300311.229278546,4524.563762305033,17781.89387756753,5814190.313081582,275852.2853891678,0.0536,276665.0,0.8535031847133758,0.6825349516323845
wave_2,Paper beta (0% reduction),2021-03-27,23299554.398489792,4422.60809808742,17531.809526575915,5815299.183885545,275892.9059883933,0.0536,276750.0,0.8535031847133758,0.682512781822689
wave_2,Paper beta (0% reduction),2021-03-28,23298808.380949765,4328.622846962274,17278.74929627897,5816392.246906994,275932.6381204148,0.0536,276839.0,0.8535031847133758,0.6824909287649943
wave_2,Paper beta (0% reduction),2021-03-29,23298073.26922646,4241.132389928094,17024.233394173214,5817469.364989436,275971.5472035447,0.0536,276980.0,0.8535031847133758,0.6824693951708902
wave_2,Paper beta (0% reduction),2021-03-30,23297349.09824648,4158.971116821833,16769.44519263681,5818530.48544406,276009.6867191157,0.0536,277147.0,0.8535031847133758,0.6824481820634802
wave_2,Paper beta (0% reduction),2021-03-31,23296635.858140517,4081.217628589973,16515.302990841454,5819575.621240051,276047.1007161212,0.0536,277309.0,0.8535031847133758,0.682427289153663
wave_2,Paper beta (0% reduction),2021-04-01,23295933.504350547,4007.1429156198624,16262.516530181918,5820604.836203651,276083.82578431023,0.0536,277461.0,0.8535031847133758,0.6824067151362024
wave_2,Paper beta (0% reduction),2021-04-02,23295241.965580598,3936.169543259356,16011.63150191558,5821618.233374228,276119.89260864153,0.0536,277640.0,0.8535031847133758,0.6823864579226291
wave_2,Paper beta (0% reduction),2021-04-03,23294561.15004933,3867.8395063324356,15763.064597728016,5822615.94584661,276155.3271940171,0.0536,277768.0,0.8535031847133758,0.682366514824396
wave_2,Paper beta (0% reduction),2021-04-04,23293890.950405393,3801.7889111597906,15517.131112110043,5823598.129571335,276190.15183032694,0.0536,277944.0,0.8535031847133758,0.6823468826968654
wave_2,Paper beta (0% reduction),2021-04-05,23293231.24758974,3737.7280347784954,15274.066678700698,5824564.957696777,276224.38585296005,0.0536,278210.0,0.8535031847133758,0.6823275580524458
wave_2,Paper beta (0% reduction),2021-04-06,23292581.913868763,3675.4256191394093,15034.044386668416,5825516.616125427,276258.0462422221,0.0536,278470.0,0.8535031847133758,0.6823085371494423
